,0
0,60562.0
1,56827.0
2,54662.0
3,53380.00000000001
4,52662.0
5,52871.0
6,53882.0
7,54603.00000000001
8,53762.0
9,52846.0
10,52064.0
11,52303.0
12,51151.0
13,49970.0
14,51110.0
15,49878.0
16,49250.0
17,50249.0
18,53033.0
19,56421.0
20,58937.0
21,58677.00000000001
22,57790.0
23,57534.0
24,56534.0
25,53028.0
26,50761.0
27,49679.0
28,49212.0
29,49344.0
30,50134.0
31,50425.0
32,48517.0
33,44867.0
34,42319.0
35,40864.0
36,39887.0
37,40053.0
38,40915.0
39,41928.0
40,44028.0
41,47615.0
42,51902.0
43,55375.0
44,57502.0
45,57405.0
46,56265.99999999999
47,55421.0
48,53882.0
49,50902.0
50,48905.0
51,48005.0
52,47710.0
53,48476.0
54,50333.0
55,54002.00000000001
56,57829.0
57,60702.99999999999
58,61310.0
59,61328.0
60,60593.00000000001
61,58734.00000000001
62,61878.0
63,63515.00000000001
64,64379.00000000001
65,65689.0
66,66005.0
67,67037.0
68,67383.0
69,65220.0
70,63271.0
71,62268.0
72,60382.99999999999
73,56519.00000000001
74,54600.0
75,53707.00000000001
76,53334.00000000001
77,53688.99999999999
78,55303.00000000001
79,58002.0
80,60300.99999999999
81,61686.0
82,60483.00000000001
83,58137.0
84,55048.0
85,52097.0
86,54493.00000000001
87,56199.00000000001
88,58275.00000000001
89,61497.0
90,63535.0
91,65779.0
92,66950.0
93,65263.0
94,63552.0
95,62748.0
96,61328.0
97,57284.0
98,55316.99999999999
99,54178.0
100,53560.99999999999
101,53869.99999999999
102,54700.0
103,55355.0
104,54703.0
105,53165.0
106,51177.0
107,50040.0
108,48692.0
109,47150.0
110,48197.0
111,49882.0
112,51049.0
113,53730.0
114,57001.99999999999
115,60195.00000000001
116,62161.00000000001
117,61692.0
118,60439.0
119,59125.00000000001
120,57712.99999999999
121,54484.99999999999
122,52644.0
123,51359.0
124,51065.0
125,51850.0
126,53349.0
127,56339.0
128,60278.0
129,64116.00000000001
130,64008.0
131,62702.0
132,59754.00000000001
133,56751.0
134,58691.00000000001
135,59837.0
136,60693.00000000001
137,62457.0
138,63591.0
139,65737.0
140,66663.0
141,64999.0
142,63117.00000000001
143,61573.0
144,60186.0
145,55941.0
146,54036.99999999999
147,53288.00000000001
148,52757.0
149,53169.99999999999
150,54548.99999999999
151,56784.99999999999
152,58587.0
153,59205.0
154,57918.99999999999
155,55806.0
156,53147.0
157,50683.0
158,53958.99999999999
159,55988.0
160,57981.0
161,60730.0
162,62216.99999999999
163,63762.0
164,64815.99999999999
165,63477.0
166,61665.0
167,60908.99999999999
168,59296.0
169,55599.0
170,53445.0
171,52355.0
172,51997.0
173,52429.0
174,52860.0
175,53311.0
176,51831.0
177,48757.0
178,46723.0
179,45287.0
180,44030.0
181,42792.0
182,44330.0
183,45587.0
184,47808.0
185,50614.0
186,53783.0
187,56496.0
188,58313.99999999999
189,57981.0
190,56774.0
191,56549.0
192,55234.99999999999
193,51955.0
194,49938.0
195,48961.0
196,48224.0
197,48147.0
198,48878.0
199,49090.0
200,47065.0
201,43931.0
202,42095.0
